<doc id="2218136" title="Vedad Ibi¨evi?" nonfiltered="1" processed="1" dbindex="480001">
Vedad vedar VMM02P0 0
siglo_IX [s:ix] W 0
y y CC 0
comienzos comienzo NCMP000 05437768
de de SPS00 0
el el DA0MS0 0
X._Los x._los NP00000 0
rus rus NCMN000 0
emprendieron emprender VMIS3P0 01134102
su su DP3CS0 0
primera 1 AO0FS0 02098880
expedición expedición NCFS000 00200777
a a SPS00 0
gran gran AQ0CS0 01328712
escala escala NCFS000 09978973
en en SPS00 0
el el DA0MS0 0
año_913 [??:??/??/913:??.??:??] W 0
; ; Fx 0
tras tras SPS00 0
su su DP3CS0 0
llegada llegada NCFS000 00025919
en en SPS00 0
500 500 Z 0
barcos barco NCMP000 03318070
, , Fc 0
saquearon saquear VMIS3P0 01600942
Gorgan gorgan NP00000 0
, , Fc 0
situada situar VMP00SF 01354457
en en SPS00 0
el el DA0MS0 0
territorio territorio NCMS000 06307482
de de SPS00 0
el el DA0MS0 0
actual actual AQ0CS0 01667781
Irán irán NP00000 0
, , Fc 0
y y CC 0
las el DA0FP0 0
tierras tierra NCFP000 06299747
cercanas cercano AQ0FP0 00415743
, , Fc 0
capturando capturar VMG0000 01015085
esclavos esclavo NCMP000 07583414
y y CC 0
bienes bien NCMP000 04019795
. . Fp 0

Durante durante SPS00 0
su su DP3CS0 0
regreso regreso NCMS000 00027910
, , Fc 0
los el DA0MP0 0
expedicionarios expedicionario NCMP000 0
de de SPS00 0
el el DA0MS0 0
norte norte NCMS000 06311701
fueron ser VSIS3P0 01775973
atacados atacar VMP00PM 00759367
y y CC 0
derrotados derrotar VMP00PM 00750517
por por SPS00 0
los el DA0MP0 0
musulmanes musulmán AQ0MP0 02698564
jázaros jázaro NCMP000 0
en en SPS00 0
el el DA0MS0 0
delta delta NCMS000 05118036
de de SPS00 0
el el DA0MS0 0
Volga volga NP00000 0
, , Fc 0
y y CC 0
quienes quien PR0CP000 0
lograron lograr VMIS3P0 01722366
escapar escapar VMN0000 01420490
acabaron acabar VMIS3P0 01779664
muertos morir VMP00PM 00250254
por por SPS00 0
las el DA0FP0 0
tribus tribu NCFP000 06197111
locales local AQ0CP0 02583089
de de SPS00 0
el el DA0MS0 0
curso curso NCMS000 06389665
medio medio AQ0MS0 01468318
de de SPS00 0
el el DA0MS0 0
Volga volga NP00000 0
. . Fp 0

En en SPS00 0
su su DP3CS0 0
siguiente siguiente AQ0CS0 00129529
expedición expedición NCFS000 00621864
, , Fc 0
en en SPS00 0
943 943 Z 0
, , Fc 0
los el DA0MP0 0
rus rus NCMN000 0
capturaron capturar VMIS3P0 01015085
Barda barda NP00000 0
, , Fc 0
la el DA0FS0 0
capital capital NCFS000 06283013
de de SPS00 0
Arran arran NP00000 0
, , Fc 0
situada situar VMP00SF 01838645
en en SPS00 0
la el DA0FS0 0
actual actual AQ0CS0 01667781
Azerbaiyán azerbaiyán NP00000 0
. . Fp 0

Los el DA0MP0 0
rus rus NCMN000 0
permanecieron permanecer VMIS3P0 01800838
allí allí RG 0
varios varios DI0MP0 0
meses mes NCMP000 10922179
, , Fc 0
asesinando asesinar VMG0000 01691743
a a SPS00 0
muchos mucho PI0MP000 0
de de SPS00 0
los el DA0MP0 0
habitantes habitante NCCP000 06949059
de de SPS00 0
la el DA0FS0 0
ciudad ciudad NCFS000 06287351
y y CC 0
reuniendo reunir VMG0000 00946301
un uno DI0MS0 0
gran gran AQ0CS0 01328712
botín botín NCMS000 09543577
. . Fp 0

Finalmente Finalmente RG 0
, , Fc 0
una uno DI0FS0 0
epidemia epidemia NCFS000 05531449
de de SPS00 0
disentería disentería NCFS000 10164288
obligó obligar VMIS3S0 00599940
a a SPS00 0
que que CS 0
los el DA0MP0 0
rus rus NCMN000 0
partieran partir VMSI3P0 01370454
con con SPS00 0
sus su DP3CP0 0
riquezas riqueza NCFP000 09614312
. . Fp 0

Sviatoslav sviatoslav NP00000 0
, , Fc 0
príncipe príncipe NCMS000 07498573
de de SPS00 0
Kiev kiev NP00000 0
, , Fc 0
estuvo estar VAIS3S0 01811792
a_el_frente_de al_frente_de SPS00 0
el el DA0MS0 0
siguiente siguiente AQ0CS0 00129529
ataque ataque NCMS000 00625655
, , Fc 0
el el DA0MS0 0
cual cual PR0CS000 0
destruyó destruir VMIS3S0 01077449
a a SPS00 0
el el DA0MS0 0
estado estado NCMS000 00016185
jázaro jázaro NCMS000 0
en en SPS00 0
965 965 Z 0
. . Fp 0

La el DA0FS0 0
campaña campaña NCFS000 00509919
de de SPS00 0
Sviatoslav sviatoslav NP00000 0
significó significar VMIS3S0 00646401
el el DA0MS0 0
dominio dominio NCMS000 04045518
de de SPS00 0
las el DA0FP0 0
rutas ruta NCFP000 06348591
de de SPS00 0
comercio comercio NCMS000 00706993
de de SPS00 0
norte norte NCMS000 06311701
a a SPS00 0
sur sur NCMS000 09965063
por por SPS00 0
parte parte NCFS000 06358701
de de SPS00 0
los el DA0MP0 0
rus rus NCMN000 0
, , Fc 0
lo el DA0NS0 0
que que PR0CN000 0
ayudó ayudar VMIS3S0 01737017
a a SPS00 0
cambiar cambiar VMN0000 00083947
la el DA0FS0 0
demografía demografía NCFS000 04675910
de de SPS00 0
la el DA0FS0 0
región región NCFS000 06358701
. . Fp 0

El el DA0MS0 0
último último AO0MS0 00958252
ataque ataque NCMS000 00625655
se se P0000000 0
produjo producir VMIS3S0 01128460
en en SPS00 0
1041 1041 Z 0
, , Fc 0
cuando cuando CS 0
los el DA0MP0 0
escandinavos escandinavo NCMP000 07036542
encabezados encabezar VMP00PM 01364337
por por SPS00 0
Ingvar_el_Viajero ingvar_el_viajero NP00000 0
realizaron realizar VMIS3P0 01747342
su su DP3CS0 0
intento intento NCMS000 00503611
final final AQ0CS0 00958252
por por SPS00 0
restablecer restablecer VMN0000 01740365
la el DA0FS0 0
ruta ruta NCFS000 06348591
a a SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
. . Fp 0

Contexto contexto NP00000 04749988
y y CC 0
primeros 1 AO0MP0 02098880
años año NCMP000 10917509
. . Fp 0

La el DA0FS0 0
primera 1 AO0FS0 02098880
vez vez NCFS000 05449233
que que PR0CN000 0
los el DA0MP0 0
rus rus NCMN000 0
ingresaron ingresar VMIS3P0 01603572
en en SPS00 0
tierras tierra NCFP000 06299747
musulmanas musulmán AQ0FP0 02698564
junto_a junto_a SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
lo lo PP3CNA00 0
hicieron hacer VMIS3P0 01747342
como como CS 0
comerciantes comerciante NCCP000 07646824
, , Fc 0
y y CC 0
no no RN 0
como como CS 0
guerreros guerrero NCMP000 07674205
. . Fp 0

Para para SPS00 0
comienzos comienzo NCMP000 05459242
de de SPS00 0
el el DA0MS0 0
siglo_IX [s:ix] W 0
, , Fc 0
los el DA0MP0 0
nórdicos nórdico NCMP000 0
se se P0000000 0
establecieron establecer VMIS3P0 00430666
en en SPS00 0
el el DA0MS0 0
noroeste noroeste NCMS000 09966534
de de SPS00 0
Rusia rusia NP00000 0
, , Fc 0
donde donde PR000000 0
fundaron fundar VMIS3P0 00430666
un uno DI0MS0 0
pueblo pueblo NCMS000 06069040
llamado llamar VMP00SM 00696267
Aldeigja aldeigja NP00000 0
( ( Fpa 0
en en SPS00 0
eslavo eslavo NCMS000 05205927
: : Fd 0
Ladoga ladoga NP00000 0
) ) Fpt 0
a a SPS00 0
unos uno DI0MP0 0
9,7_km LN_km:9.7 Zu 0
a a SPS00 0
el el DA0MS0 0
sur sur NCMS000 09965063
de de SPS00 0
la el DA0FS0 0
desembocadura desembocadura NCFS000 06728126
de de SPS00 0
el el DA0MS0 0
río río NCMS000 06789983
Volkhov volkhov NP00000 0
en en SPS00 0
el el DA0MS0 0
lago lago NCMS000 06787575
Ládoga ládoga NP00000 0
. . Fp 0

Desde desde SPS00 0
allí allí RG 0
, , Fc 0
comenzaron comenzar VMIS3P0 00239960
a a SPS00 0
comerciar comerciar VMN0000 01546679
con con SPS00 0
el el DA0MS0 0
Imperio_Bizantino imperio_bizantino NP00000 0
a a SPS00 0
lo el DA0NS0 0
largo largo AQ0MS0 01380813
de de SPS00 0
la el DA0FS0 0
ruta ruta NCFS000 06348591
comercial comercial AQ0CS0 00450636
de de SPS00 0
el el DA0MS0 0
Dniéper dniéper NP00000 0
, , Fc 0
y y CC 0
con con SPS00 0
las el DA0FP0 0
tierras tierra NCFP000 06299747
musulmanas musulmán AQ0FP0 02698564
cercanas cercano AQ0FP0 00415743
a a SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
mediante mediante SPS00 0
la el DA0FS0 0
ruta ruta NCFS000 06348591
comercial comercial AQ0CS0 00450636
de de SPS00 0
el el DA0MS0 0
Volga volga NP00000 0
. . Fp 0

A a SPS00 0
finales final NCFP000 06314878
de de SPS00 0
el el DA0MS0 0
siglo_IX [s:ix] W 0
, , Fc 0
ibn ibn RG 0
Khordadbeh khordadbeh NP00000 0
mencionó mencionar VMIS3S0 00692561
que que CS 0
los el DA0MP0 0
rus rus NCMN000 0
compraban comprar VMII3P0 01511279
bienes bien NCMP000 04019795
a a SPS00 0
los el DA0MP0 0
jázaros jázaro NCMP000 0
en en SPS00 0
los el DA0MP0 0
mercados mercado NCMP000 00711063
de de SPS00 0
el el DA0MS0 0
curso curso NCMS000 06389665
inferior inferior AQ0CS0 02233830
de de SPS00 0
el el DA0MS0 0
Volga volga NP00000 0
y y CC 0
los los PP3MPA00 0
vendían vender VMII3P0 01535023
en en SPS00 0
las el DA0FP0 0
ciudades ciudad NCFP000 06287351
de de SPS00 0
el el DA0MS0 0
Caspio caspio NP00000 0
; ; Fx 0
estos este DD0MP0 0
mercaderes mercader NCMP000 07405825
llevaban llevar VMII3P0 01422262
consigo conseguir VMIP1S0 01513874
pieles piel NCFP000 04068217
, , Fc 0
miel miel NCFS000 05887861
y y CC 0
esclavos esclavo NCMP000 07583414
. . Fp 0

Incluso incluso RG 0
existieron existir VMIS3P0 01775163
pequeños pequeño AQ0MP0 01336443
grupos grupo NCMP000 00017954
de de SPS00 0
rus rus NCMN000 0
que que PR0CN000 0
llegaron llegar VMIS3P0 01262658
a a SPS00 0
camello camello NCMS000 01933103
hasta hasta SPS00 0
Bagdad bagdad NP00000 0
para para SPS00 0
vender vender VMN0000 01535023
sus su DP3CP0 0
bienes bien NCMP000 04019795
; ; Fx 0
en en SPS00 0
estas este DD0FP0 0
ocasiones ocasión NCFP000 05449233
, , Fc 0
sus su DP3CP0 0
esclavos esclavo NCMP000 07583414
europeos europeo AQ0MP0 02734993
ejercían ejercer VMII3P0 01822108
la el DA0FS0 0
labor labor NCFS000 02636894
de de SPS00 0
intérpretes intérprete NCCP000 07468258
. . Fp 0

El el DA0MS0 0
historiador historiador NCMS000 07321477
y y CC 0
antropólogo antropólogo NCMS000 07078194
Thomas_Schaub_Noonan thomas_schaub_noonan NP00000 0
cree creer VMIP3S0 00465761
que que CS 0
los el DA0MP0 0
rus rus NCMN000 0
llegaron llegar VMIS3P0 01368651
a a SPS00 0
Bagdad bagdad NP00000 0
ya ya RG 0
en en SPS00 0
el el DA0MS0 0
año_800 [??:??/??/800:??.??:??] W 0
, , Fc 0
algo algo PI0CS000 0
que que PR0CN000 0
se se P0000000 0
sostiene sostener VMIP3S0 01842330
debido_a debido_a SPS00 0
el el DA0MS0 0
descubrimiento descubrimiento NCMS000 00098007
de de SPS00 0
monedas moneda NCFP000 09642587
( ( Fpa 0
dirham dirham NCMS000 09834659
) ) Fpt 0
sasánidas sasánida AQ0CP0 0
, , Fc 0
árabes árabe AQ0CP0 02796795
y y CC 0
arabosasánidas arabosasánidas NCFP000 0
datadas datar VMP00PF 00498714
como como CS 0
pertenecientes perteneciente AQ0CP0 0
a a SPS00 0
804-805 804-805 Z 0
en en SPS00 0
Peterhof peterhof NP00000 0
, , Fc 0
cerca cerca RG 0
de de SPS00 0
San_Petersburgo san_petersburgo NP00000 0
. . Fp 0

En en SPS00 0
los el DA0MP0 0
textos texto NCMP000 04816275
escritos escribir VMP00PM 01164896
por por SPS00 0
ibn ibn RG 0
Khordadbeh khordadbeh NP00000 0
, , Fc 0
los el DA0MP0 0
rus rus NCMN000 0
son ser VSIP3P0 01775973
descritos describir VMP00PM 00668209
como como CS 0
« « Fz 0
parientes pariente NCCP000 07356184
de de SPS00 0
los el DA0MP0 0
saqaliba saqaliba RG 0
» » Fz 0
, , Fc 0
un uno DI0MS0 0
término término NCMS000 04758968
que que PR0CN000 0
se se P0000000 0
solía soler VMII1S0 00186743
utilizar utilizar VMN0000 00788109
para para SPS00 0
referir referir VMN0000 01825574
se se PP3CN000 0
a a SPS00 0
los el DA0MP0 0
eslavos eslavo NCMP000 05205927
, , Fc 0
y y CC 0
los el DA0MP0 0
antinormandista antinormandista NCCS000 0
interpretan interpretar VMIP3P0 00422121
dicho decir VMP00SM 00638109
pasaje pasaje NCMS000 04824319
como como CS 0
una uno DI0FS0 0
muestra muestra NCFS000 05153478
de de SPS00 0
que que CS 0
los el DA0MP0 0
rus rus NCMN000 0
eran ser VSII3P0 01775973
eslavos eslavo AQ0MP0 02856417
en_lugar_de en_lugar_de SPS00 0
escandinavos escandinavo NCMP000 07036542
. . Fp 0

Según según SPS00 0
la el DA0FS0 0
interpretación interpretación NCFS000 00358063
de de SPS00 0
los el DA0MP0 0
normandista normandista NCCS000 0
, , Fc 0
la el DA0FS0 0
palabra palabra NCFS000 04750884
Saqaliba saqaliba NP00000 0
también también RG 0
se se P0000000 0
aplicaba aplicar VMII1S0 01640620
habitualmente habitualmente RG 0
a a SPS00 0
cualquier cualquiera DI0CS0 0
persona persona NCFS000 00004123
rubia rubio AQ0FS0 00239414
y y CC 0
de de SPS00 0
complexión complexión NCFS000 03904884
vigorosa vigoroso AQ0FS0 00801641
preteneciente preteneciente AQ0CS0 0
a a SPS00 0
el el DA0MS0 0
centro centro NCMS000 06286659
, , Fc 0
este este DD0MS0 0
y y CC 0
noreste noreste NCMS000 09963574
de de SPS00 0
Europa europa NP00000 0
, , Fc 0
por por SPS00 0
lo el DA0NS0 0
que que PR0CN000 0
en en SPS00 0
esta este DD0FS0 0
ocasión ocasión NCFS000 05449233
la el DA0FS0 0
lengua lengua NCFS000 04114572
de de SPS00 0
ibn ibn RG 0
Khordadbeh khordadbeh NP00000 0
resulta resultar VMIP3S0 01797749
ambigua ambiguo AQ0FS0 00851170
. . Fp 0

La el DA0FS0 0
primera 1 AO0FS0 02098880
incursión incursión NCFS000 00627831
de de SPS00 0
los el DA0MP0 0
rus rus NCMN000 0
a a SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
sucedió suceder VMIS3S0 00235191
en en SPS00 0
algún alguno DI0MS0 0
momento momento NCMS000 10850147
de de SPS00 0
el el DA0MS0 0
reinado reinado NCMS000 10962839
de de SPS00 0
Hasan hasan NP00000 0
ibn ibn RG 0
Zaid zaid NP00000 0
, , Fc 0
gobernante gobernante NCCS000 07539656
de de SPS00 0
Tabaristán tabaristán NP00000 0
desde desde SPS00 0
864 864 Z 0
hasta hasta SPS00 0
884 884 Z 0
. . Fp 0

Los el DA0MP0 0
rus rus NCMN000 0
navegaron navegar VMIS3P0 01261115
dentro_de dentro_de SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
y y CC 0
atacaron atacar VMIS3P0 00759367
con con SPS00 0
éxito éxito NCMS000 05454715
la el DA0FS0 0
costa costa NCFS000 04008333
este este DD0MS0 0
, , Fc 0
en en SPS00 0
Abaskun abaskun NP00000 0
. . Fp 0

Es ser VSIP3S0 01775973
probable probable AQ0CS0 01355038
que que CS 0
esta este DD0FS0 0
invasión invasión NCFS000 00472484
fuera ser VSSI1S0 01775973
a a SPS00 0
muy muy RG 0
pequeña pequeño AQ0FS0 01336443
escala escala NCFS000 09978973
. . Fp 0

La el DA0FS0 0
segunda 2 AO0FS0 02099012
incursión incursión NCFS000 00627831
ocurrió ocurrir VMIS3S0 00235191
en en SPS00 0
909 909 Z 0
o o CC 0
910 910 Z 0
y y CC 0
también también RG 0
tuvo tener VMIS3S0 01508689
a a SPS00 0
Abaskun abaskun NP00000 0
como como CS 0
objetivo objetivo AQ0MS0 01556883
; ; Fx 0
a_el_igual_que al_igual_que CS 0
en en SPS00 0
la el DA0FS0 0
ocasión ocasión NCFS000 05449233
previa previo AQ0FS0 00124764
, , Fc 0
esta este PD0FS000 0
fue ser VSIS3S0 01775973
una uno DI0FS0 0
expedición expedición NCFS000 00034968
menor menor AQ0CS0 01492632
de de SPS00 0
sólo sólo RG 0
dieciseis 16 Z 0
barcos barco NCMP000 03318070
. . Fp 0

La el DA0FS0 0
tercera 3 AO0FS0 02099122
invasión invasión NCFS000 00472484
menor menor AQ0CS0 01492632
sucedió suceder VMIS3S0 00235191
en en SPS00 0
911 911 Z 0
o o CC 0
912 912 Z 0
. . Fp 0

Incursión incursión NP00000 00627831
de de SPS00 0
el el DA0MS0 0
año_913 [??:??/??/913:??.??:??] W 0
. . Fp 0

En en SPS00 0
913 913 Z 0
, , Fc 0
los el DA0MP0 0
rus rus NCMN000 0
lanzaron lanzar VMIS3P0 01036035
su su DP3CS0 0
primer 1 AO0MS0 02098880
expedición expedición NCFS000 00034968
a a SPS00 0
gran gran AQ0CS0 01328712
escala escala NCFS000 09978973
. . Fp 0

La el DA0FS0 0
costa costa NCFS000 06801422
sur sur NCMS000 09965063
de de SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
fue ser VSIS3S0 01775973
testigo testigo NCCS000 07598298
de de SPS00 0
la el DA0FS0 0
llegada llegada NCFS000 00028503
de de SPS00 0
500 500 Z 0
barcos barco NCMP000 03318070
de de SPS00 0
los el DA0MP0 0
rus rus NCMN000 0
atravesando atravesar VMG0000 01304824
el el DA0MS0 0
país país NCMS000 06299747
de de SPS00 0
los el DA0MP0 0
jázaros jázaro NCMP000 0
. . Fp 0

Con con SPS00 0
el el DA0MS0 0
fin fin NCMS000 10966461
de de SPS00 0
obtener obtener VMN0000 01513874
un uno DI0MS0 0
paso paso NCMS000 00107819
seguro seguro AQ0MS0 02017351
por por SPS00 0
sus su DP3CP0 0
tierras tierra NCFP000 06299747
, , Fc 0
los el DA0MP0 0
rus rus NCMN000 0
prometieron prometer VMIS3P0 00598975
a a SPS00 0
los el DA0MP0 0
jázaros jázaro NCMP000 0
la el DA0FS0 0
mitad mitad NCFS000 09891093
de de SPS00 0
el el DA0MS0 0
botín botín NCMS000 09543577
. . Fp 0

Las el DA0FP0 0
naves nave NCFP000 03318070
siguieron seguir VMIS3P0 01828422
el el DA0MS0 0
curso curso NCMS000 06389665
de de SPS00 0
el el DA0MS0 0
río río NCMS000 06789983
Dniéper dniéper NP00000 0
hasta hasta SPS00 0
el el DA0MS0 0
Mar_Negro mar_negro NP00000 0
, , Fc 0
luego luego RG 0
ingresaron ingresar VMIS3P0 01603572
en en SPS00 0
el el DA0MS0 0
Mar_de_Azov mar_de_azov NP00000 0
y y CC 0
en en SPS00 0
el el DA0MS0 0
río río NCMS000 06789983
Don don NP00000 03796381
, , Fc 0
pasando pasar VMG0000 01401176
la el DA0FS0 0
ciudad ciudad NCFS000 06287351
jázara jázara VMSI3S0 0
de de SPS00 0
Sarkel sarkel NP00000 0
; ; Fx 0
finalmente finalmente RG 0
, , Fc 0
transportando transportar VMG0000 01422262
los el DA0MP0 0
barcos barco NCMP000 03318070
por por SPS00 0
tierra tierra NCFS000 06299747
, , Fc 0
llegaron llegar VMIS3P0 01368651
a a SPS00 0
el el DA0MS0 0
Volga volga NP00000 0
, , Fc 0
que que PR0CN000 0
los los PP3MPA00 0
llevó llevar VMIS3S0 01422262
a a SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
. . Fp 0

Los el DA0MP0 0
rus rus NCMN000 0
atacaron atacar VMIS3P0 00759367
la el DA0FS0 0
región región NCFS000 06359477
de de SPS00 0
Gorgan gorgan NP00000 0
, , Fc 0
en_las_cercanías_de en_las_cercanías_de SPS00 0
Abaskun abaskun NP00000 0
, , Fc 0
saqueando saquear VMG0000 01600942
todo todo DI0MS0 0
lugar lugar NCMS000 06381267
por por SPS00 0
el el DA0MS0 0
que que PR0CN000 0
pasaban pasar VMII3P0 01401176
. . Fp 0

Mientras mientras CS 0
los el DA0MP0 0
barcos barco NCMP000 03318070
se se P0000000 0
encontraban encontrar VMII3P0 01474694
anclados anclar VMP00PM 00891834
cerca cerca RG 0
de de SPS00 0
las el DA0FP0 0
islas isla NCFP000 06741251
de de SPS00 0
el el DA0MS0 0
sudoeste sudoeste NCMS000 09965562
de de SPS00 0
el el DA0MS0 0
Mar_Caspio mar_caspio NP00000 0
, , Fc 0
se se P0000000 0
efectuó efectuar VMIS3S0 01746300
un uno DI0MS0 0
intento intento NCMS000 00503611
por por SPS00 0
repeler repeler VMN0000 01502738
a a SPS00 0
los el DA0MP0 0
invasores invasor NCMP000 07343952
, , Fc 0
aunque aunque CC 0
sin sin SPS00 0
éxito éxito NCMS000 05454715
, , Fc 0
por por SPS00 0
lo el DA0NS0 0
que que PR0CN000 0
estos este DD0MP0 0
pudieron poder VMIS3P0 01857455
seguir seguir VMN0000 01363279
saqueando saquear VMG0000 01600942
a_sus_anchas a_sus_anchas RG 0
. . Fp 0

a a SPS00 0
el el DA0MS0 0
otro otro DI0MS0 0
lado lado NCMS000 04505726
de de SPS00 0
el el DA0MS0 0
mar mar NCCS000 06781925
, , Fc 0
invadieron invadir VMIS3P0 01358938
Bakú bakú NP00000 0
, , Fc 0
penetrando penetrar VMG0000 00836413
en en SPS00 0
la el DA0FS0 0
región región NCFS000 06359477
una uno DI0FS0 0
distancia distancia NCFS000 03967504
equivalente equivalente AQ0CS0 00846492
a a SPS00 0
tres 3 Z 0
días día NCMP000 10876395
de de SPS00 0
viaje viaje NCMS000 00198579
, , Fc 0
y y CC 0
arrasando arrasar VMG0000 01141322
Arran arran NP00000 0
, , Fc 0
Beylaqan beylaqan NP00000 0
y y CC 0
Shirvan shirvan NP00000 0
. . Fp 0

Siempre siempre RG 0
se se P0000000 0
apropiaban apropiar VMII3P0 0
de de SPS00 0
cuanto cuanto RG 0
podían poder VMII3P0 01857455
, , Fc 0
capturando capturar VMG0000 01015085
a a SPS00 0
mujeres mujer NCFP000 07684780
y y CC 0
niños niño NCMP000 07389783
como como CS 0
esclavos esclavo NCMP000 07583414
. . Fp 0

De de SPS00 0
regreso regreso NCMS000 00027910
a a SPS00 0
sus su DP3CP0 0
hogares hogar NCMP000 02685797
, , Fc 0
la el DA0FS0 0
noticia noticia NCFS000 04867981
de de SPS00 0
sus su DP3CP0 0
atrocidades atrocidad NCFP000 00270190
los los PP3MPA00 0
precedían preceder VMII3P0 01852936
y y CC 0
, , Fc 0
en en SPS00 0
el el DA0MS0 0
delta delta NCMS000 05118036
de de SPS00 0
el el DA0MS0 0
Volga volga NP00000 0
, , Fc 0
los el DA0MP0 0
rus rus NCMN000 0
fueron ser VSIS3P0 01775973
atacados atacar VMP00PM 00759367
por por SPS00 0
musulmanes musulmán AQ0MP0 02698564
jázaros jázaro NCMP000 0
y y CC 0
algunos alguno DI0MP0 0
cristianos cristiano NCMP000 06995978
, , Fc 0
a a SPS00 0
el el DA0MS0 0
parecer parecer NCMS000 04564824
con con SPS00 0
el el DA0MS0 0
consentimiento consentimiento NCMS000 05364269
de de SPS00 0
el el DA0MS0 0
rey rey NCMS000 07354565
de de SPS00 0
los el DA0MP0 0
jázaros jázaro NCMP000 0
. . Fp 0

Según según SPS00 0
al-Masudi al-masudi VMIS1S0 0
, , Fc 0
aquellos aquel DD0MP0 0
rus rus NCMN000 0
que que PR0CN000 0
lograron lograr VMIS3P0 01722366
escapara escapar VMSI1S0 01420490
fueron ser VSIS3P0 01775973
aniquilados aniquilar VMP00PM 00328370
por por SPS00 0
los el DA0MP0 0
burtas burtas NCFP000 0
y y CC 0
los el DA0MP0 0
búlgaros búlgaro NCMP000 05207628
de de SPS00 0
el el DA0MS0 0
Volga volga NP00000 0
. . Fp 0

Incursión incursión NP00000 00627831
de de SPS00 0
el el DA0MS0 0
año_943 [??:??/??/943:??.??:??] W 0
. . Fp 0

La el DA0FS0 0
segunda 2 AO0FS0 02099012
campaña campaña NCFS000 00509919
a a SPS00 0
gran gran AQ0CS0 01328712
escala escala NCFS000 09978973
tuvo_lugar tener_lugar VMIS3S0 00235191
en en SPS00 0
943 943 Z 0
, , Fc 0
cuando cuando CS 0
Igor igor NP00000 0
era ser VSII1S0 01775973
el el DA0MS0 0
líder líder NCCS000 06950891
supremo supremo AQ0MS0 02228043
de de SPS00 0
los el DA0MP0 0
rus rus NCMN000 0
, , Fc 0
según según SPS00 0
la el DA0FS0 0
Primera_Crónica_Rusa primera_crónica_rusa NP00000 0
. . Fp 0

Durante durante SPS00 0
la el DA0FS0 0
expedición expedición NCFS000 00621864
de de SPS00 0
943 943 Z 0
, , Fc 0
los el DA0MP0 0
rus rus NCMN000 0
subieron subir VMIS3P0 01343923
por por SPS00 0
el el DA0MS0 0
río río NCMS000 06789983
Kura kura NP00000 0
, , Fc 0
en en SPS00 0
las el DA0FP0 0
profundidades profundidad NCFP000 04000219
de de SPS00 0
el el DA0MS0 0
Cáucaso cáucaso NP00000 0
, , Fc 0
vencieron vencer VMIS3P0 00750517
a a SPS00 0
las el DA0FP0 0
tropas tropa NCFP000 06143628
de de SPS00 0
Marzuban marzuban NP00000 0
bin bin NC00000 0
Muhammad muhammad NP00000 0
y y CC 0
capturaron capturar VMIS3P0 01015085
Barda barda NP00000 0
, , Fc 0
la el DA0FS0 0
capital capital NCFS000 06283013
de de SPS00 0
Arran arran NP00000 0
. . Fp 0

Los el DA0MP0 0
rus rus NCMN000 0
permitieron permitir VMIS3P0 01649126
que que CS 0
los el DA0MP0 0
habitantes habitante NCCP000 06949059
conservaran conservar VMSI3P0 01829600
su su DP3CS0 0
religión religión NCFS000 04565571
a_cambio_de a_cambio_de SPS00 0
el el DA0MS0 0
reconocimiento reconocimiento NCMS000 00633825
de de SPS00 0
su su DP3CS0 0
dominio dominio NCMS000 04045518
absoluto absoluto AQ0MS0 00005515
; ; Fx 0
existe existir VMIP3S0 01782836
la el DA0FS0 0
posibilidad posibilidad NCFS000 04568501
de de SPS00 0
que que CS 0
los el DA0MP0 0
rus rus NCMN000 0
pretendieran pretender VMSI3P0 01725008
establecer establecer VMN0000 00430666
se se PP3CN000 0
allí allí RG 0
en en SPS00 0
forma forma NCFS000 03856995
permanente permanente AQ0CS0 01690654
. . Fp 0

De_acuerdo_con de_acuerdo_con SPS00 0
lo el DA0NS0 0
narrado narrar VMP00SM 00645379
por por SPS00 0
ibn ibn RG 0
Miskawaih miskawaih NP00000 0
, , Fc 0
los el DA0MP0 0
locales local NCMP000 06356389
rompieron romper VMIS3P0 00938146
la el DA0FS0 0
paz paz NCFS000 10065207
arrojando arrojar VMG0000 01520955
piedras piedra NCFP000 06669293
contra contra SPS00 0
los el DA0MP0 0
rus rus NCMN000 0
, , Fc 0
quienes quien PR0CP000 0
exigieron exigir VMIS3P0 00512630
que que CS 0
el el DA0MS0 0
pueblo pueblo NCMS000 06080290
abandonara abandonar VMSI1S0 01609431
la el DA0FS0 0
ciudad ciudad NCFS000 06287351
. . Fp 0

Ante ante SPS00 0
la el DA0FS0 0
respuesta respuesta NCFS000 05055491
negativa negativo AQ0FS0 01747801
a a SPS00 0
el el DA0MS0 0
ultimátum ultimátum NCMS000 05375235
, , Fc 0
los el DA0MP0 0
rus rus NCMN000 0
comenzaron comenzar VMIS3P0 00239960
a a SPS00 0
matar matar VMN0000 00903723
